Maximum,Mean,Median,Minimum,Null_Count,Quantile_25,Quantile_75,Std_Dev,Unique_values,VariableName,prof_quant_25,prof_quant_75,prof_std,Date,Time,ProcessID,Data_Stage,Region,SKU
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,freeitems_lagdiff_2_3,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,unit_lag_4,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg_lag_4,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
7343000.0,9267.317073170732,0.0,-3662400.0,3,0.0,0.0,1120599.5965724608,0,media_lagdiff_2_3,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.90211,0.004337067307692307,0.0,0.0,0,0.0,0.0,0.06255007425209266,0,price_lagdiff_2_3,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,min_bonus,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,incentive_applied_pop_count_lag_2,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,freeitems_lag_1,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,min_unit,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,min_kg,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg_lagdiff_3_4,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,kg_lagdiff_2_3,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.937,0.24531730769230778,0.2315,0.004,0,0.14575,0.31,0.1405590813543208,0,tons,,,,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,kg_flag,0.0,0.0,0.0,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,bonus_flag,0.0,0.0,0.0,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,freeItems_flag,0.0,0.0,0.0,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1,unit_flag,0.0,0.0,0.0,2020-08-11,19:22:00.278199,2,Raw,LAHORE,PONDS FOAM WHT BEAUTY 4x6x100g
